ID,ID_person,Square,Rooms,Price
0,17266,53,2,20140
1,13084,57,2,15846
2,11257,111,5,37407
3,14349,38,1,15162
4,18661,32,1,6784
5,16656,45,2,9810
6,1237,52,3,18876
7,4942,74,3,21460
8,11016,75,4,23325
9,5181,115,6,39675
10,13644,69,4,27117
11,344,113,6,36273
12,7462,53,2,18338
13,8475,93,5,34131
14,14632,90,5,25560
15,658,120,5,25560
16,14676,120,5,24840
17,18987,68,3,21692
18,9201,82,3,20418
19,1046,31,,6510
20,9808,116,5,35148
21,15580,39,2,9438
22,10813,101,4,30401
23,11451,61,3,21228
24,7481,115,6,27140
25,14196,101,5,23331
26,6850,63,3,25011
27,10564,46,2,14628
28,17783,57,3,19608
29,8502,97,4,37151
30,17297,64,4,22080
31,12395,37,1,8103
32,13438,126,7,41958
33,3260,32,1,8128
34,4888,47,3,9635
35,13146,108,6,26244
36,13270,33,2,12441
37,1246,121,7,38599
38,7502,37,,12210
39,1141,101,,26462
40,15143,127,5,36322
41,17311,101,4,27472
42,15534,65,2,17940
43,12545,42,2,13692
44,17241,46,2,15180
45,7272,126,5,30870
46,13934,66,3,18810
47,4150,93,5,33759
48,5290,31,2,11036
49,8272,47,2,15416
50,7901,103,4,27398
51,917,101,5,24038
52,10882,72,4,24120
53,11668,31,1,11439
54,13745,56,3,20384
55,16290,55,3,17435
56,5747,106,,30422
57,11591,32,1,8096
58,17558,35,2,8330
59,6757,71,4,21726
60,6699,37,1,7659
61,13374,51,2,14841
62,7283,99,4,36531
63,10024,128,6,26112
64,1870,72,4,26568
65,12897,58,3,13862
66,6802,48,2,17616
67,11884,53,2,12614
68,13247,46,2,14950
69,19948,64,2,13504
70,2257,129,5,47601
71,14386,98,5,27930
72,15170,38,,11970
73,14257,76,4,15276
74,2225,105,7,41265
75,10446,36,2,12960
76,10878,45,,17550
77,3320,110,5,42240
78,6043,119,5,27251
79,666,89,4,31595
80,13582,113,6,23730
81,6075,44,2,15092
82,14052,111,6,24198
83,18102,48,,18576
84,18064,89,,17889
85,4298,103,5,40067
86,10186,118,5,41536
87,12208,126,,28224
88,19922,68,4,15300
89,1086,49,2,11319
90,18190,94,,22560
91,13046,46,2,17894
92,15367,110,5,34980
93,6079,88,4,32120
94,13448,30,1,6870
95,3512,109,6,23108
96,9548,83,4,25896
97,2686,109,5,31174
98,9432,48,2,16944
99,13947,116,,36424
100,8644,68,4,26452
101,4771,65,4,15210
102,15058,34,2,7446
103,3880,64,4,16064
104,10564,99,5,34254
105,16328,33,1,12309
106,6588,104,,39000
107,12773,32,1,10016
108,19505,72,3,15912
109,19041,41,1,11316
110,18568,118,5,43542
111,9731,93,5,20832
112,13541,47,1,18283
113,3666,117,5,25506
114,1802,72,3,17928
115,9484,110,6,38940
116,17819,41,2,15170
117,7623,104,6,38480
118,9789,44,1,17336
119,12623,52,2,13364
120,7147,110,4,38830
121,13257,105,4,39270
122,19411,104,5,21424
123,15104,88,5,31768
124,2721,109,,24852
125,8685,71,3,18673
126,4583,67,3,17286
127,8583,121,6,34848
128,1926,73,,14892
129,3853,127,6,44577
130,2062,43,2,12427
131,15825,68,4,23256
132,19600,58,2,14848
133,1728,33,1,10032
134,6534,67,3,24522
135,16770,51,2,17697
136,8578,94,3,25568
137,861,127,,30353
138,337,114,4,36138
139,7267,110,6,37510
140,3070,116,6,31088
141,8333,73,4,14892
142,14733,37,1,11507
143,17089,55,2,19030
144,12693,46,,18170
145,1342,54,3,18846
146,52,76,5,16492
147,12648,49,3,12691
148,5654,111,4,26751
149,11781,91,5,26117
150,2216,80,3,30000
151,3038,87,5,18966
152,15785,86,4,19866
153,15368,92,5,24932
154,4963,73,3,28981
155,5983,128,5,48256
156,6164,34,1,11322
157,15330,37,1,7807
158,6384,50,2,18400
159,2052,112,6,33712
160,13157,116,6,34452
161,18705,52,2,19552
162,9053,114,5,27702
163,3850,110,5,36740
164,1156,73,3,23579
165,12073,45,1,9405
166,1105,72,3,25056
167,3969,49,3,17003
168,11162,59,2,12862
169,12321,117,6,35685
170,1268,118,7,25370
171,11330,30,1,8520
172,8101,39,,11583
173,6032,96,4,30912
174,6654,66,4,23628
175,10550,57,3,21888
176,15252,71,3,24353
177,16213,113,5,27233
178,17923,62,2,16678
179,14420,116,4,27840
180,1990,85,4,22015
181,5654,32,1,10624
182,13529,51,2,17493
183,18430,118,7,32922
184,13546,31,1,6975
185,9600,47,3,16826
186,11809,75,3,26700
187,4393,73,,27229
188,18140,90,6,18900
189,10006,111,5,31746
190,5689,83,4,17347
191,5980,73,3,28397
192,6825,67,,17822
193,19633,125,6,32250
194,5952,81,4,29970
195,13590,120,6,41520
196,8295,94,4,32054
197,3203,112,,41104
198,4639,49,2,19551
199,19593,81,4,16686
200,15513,65,3,22555
201,2359,57,2,13680
202,11051,43,2,13588
203,6786,55,,11330
204,5166,53,3,18656
205,15415,82,3,18614
206,12265,76,3,28652
207,11275,39,1,10413
208,1562,121,7,46101
209,8491,47,1,14053
210,3730,96,4,33408
211,3198,70,4,14770
212,13211,51,3,12444
213,4406,108,4,24840
214,4021,74,4,25826
215,12348,69,3,21597
216,14210,49,2,14455
217,1637,110,5,29370
218,8929,124,5,49104
219,10225,64,,16512
