ID,ID_person,Model,Power,Price
0,6823,LADA,112,373960
1,2586,Toyota,,3853381
2,17397,Toyota,485,2728373
3,6843,Daewoo,96,923377
4,17264,Subaru,,3176388
5,18666,Subaru,232,3156028
6,9369,KIA,467,2357142
7,10603,KIA,215,3923369
8,4324,Mercedez-Benz,267,3914849
9,7380,KIA,348,2995054
10,6645,Daewoo,428,636575
11,2538,Nissan,,3492385
12,18173,KIA,,3576619
13,11707,Mercedez-Benz,251,3593542
14,19013,Subaru,446,2890876
15,18736,Toyota,430,2193626
16,2957,Ford,308,2167110
17,14042,Subaru,280,656360
18,11178,Subaru,303,1739920
19,8942,Infiniti,280,434263
20,17987,Ford,314,2514113
21,906,Toyota,460,555917
22,2672,KIA,,1986822
23,19852,BMW,163,918165
24,3083,Ford,272,2310968
25,17751,Subaru,425,2636671
26,15802,Audi,106,3263098
27,4402,Toyota,299,1368324
28,7375,BMW,94,2211358
29,8859,LADA,230,3618399
30,4512,KIA,435,1446196
31,18176,LADA,405,3236720
32,12372,Infiniti,367,3674590
33,8621,Nissan,274,697831
34,9753,Subaru,240,220548
35,15601,Subaru,364,582093
36,6552,Infiniti,211,3735619
37,3442,Subaru,134,3390517
38,16380,KIA,188,3986991
39,16889,Audi,250,2521319
40,13702,Nissan,421,665465
41,3139,Mercedez-Benz,335,1127436
42,7,Subaru,163,3938379
43,7019,Infiniti,490,3140925
44,18299,Mercedez-Benz,390,1698711
45,18147,BMW,335,363191
46,14625,Ford,416,1080071
47,19297,Mercedez-Benz,70,568396
48,7592,Subaru,245,2220686
49,8593,Mercedez-Benz,364,1792131
50,4190,Daewoo,338,616264
51,7450,KIA,204,294203
52,19560,Audi,85,200844
53,16001,BMW,225,808188
54,10177,BMW,496,3258697
55,7891,Mercedez-Benz,409,1843942
56,5798,Infiniti,248,2616553
57,8633,Infiniti,433,2764270
58,19105,Mercedez-Benz,179,1861125
59,432,KIA,364,1508673
60,1433,Audi,485,3173566
61,12404,Daewoo,157,1887368
62,10451,Audi,390,1318974
63,4964,Toyota,101,2017116
64,7352,Ford,449,952151
65,2499,Infiniti,482,2575148
66,14834,Mercedez-Benz,205,623093
67,7128,Nissan,191,1971451
68,4011,BMW,,736750
69,4812,BMW,299,797908
70,8851,Toyota,,755662
71,5345,Toyota,,2709100
72,977,Mercedez-Benz,146,3579339
73,17338,Toyota,225,703122
74,7875,Ford,268,1982433
75,11640,Mercedez-Benz,,1165725
76,19383,Subaru,334,540538
77,1586,Toyota,410,946140
78,9833,Ford,456,385382
79,9715,KIA,108,2463769
80,6962,Infiniti,213,2448971
81,10910,Mercedez-Benz,304,1213821
82,11818,Audi,176,1966992
83,8412,LADA,210,669078
84,17236,Daewoo,250,2557478
85,12046,KIA,347,1507259
86,9824,Ford,357,1005539
87,4003,KIA,486,215165
88,453,Subaru,233,2093609
89,18756,KIA,320,3407302
90,14503,Ford,434,3278654
91,6652,LADA,350,1782955
92,13538,Subaru,77,3817309
93,8969,Subaru,,3498319
94,3253,BMW,,2399358
95,15003,Toyota,195,1833861
96,14974,Subaru,305,3481414
97,19154,Subaru,278,2674954
98,10513,Ford,213,1479950
99,2289,Infiniti,314,1922032
100,7439,Subaru,388,3386265
101,831,Audi,454,1403668
102,15447,Mercedez-Benz,188,3360706
103,5927,Mercedez-Benz,106,2303689
104,8739,Toyota,325,1827399
105,19797,Mercedez-Benz,481,2159975
106,10437,Ford,216,1502165
107,8594,Infiniti,166,1265353
108,8634,LADA,350,3564025
109,16286,Daewoo,371,1616074
110,11483,Audi,184,2106959
111,14919,KIA,79,1563124
112,17152,LADA,,3911590
113,10606,Daewoo,102,2723978
114,1615,Audi,239,1838486
115,16256,Nissan,89,3650154
116,1544,Mercedez-Benz,479,1049509
117,19749,Toyota,256,1482674
118,2959,Subaru,164,1048237
119,13630,Toyota,159,2105137
120,9437,Subaru,327,1438364
121,9384,Mercedez-Benz,326,862856
122,1643,BMW,297,2375636
123,1481,Ford,375,1864297
124,13296,Subaru,96,1872789
125,13825,Ford,448,1041213
126,54,Subaru,442,3818296
127,4429,Mercedez-Benz,337,2221659
128,2110,LADA,392,1596520
129,14662,Subaru,460,1029810
130,16499,Toyota,394,3353981
131,253,Nissan,88,1576453
132,122,Daewoo,,3865529
133,12385,LADA,,1329353
134,4992,Daewoo,204,2827273
135,8188,BMW,,3470343
136,6032,Daewoo,152,2501311
137,5450,Audi,89,1976187
138,15568,Toyota,,527378
139,7677,Ford,196,1777269
140,16305,Ford,445,1953676
141,6584,KIA,224,1445390
142,9499,Infiniti,296,450384
143,1404,Daewoo,492,311989
144,4419,Daewoo,,546712
145,14499,BMW,377,2945542
146,18303,Nissan,418,2892737
147,14095,Toyota,279,829531
148,9532,Daewoo,383,2373516
149,6486,Subaru,427,2884826
150,3789,Nissan,256,3035329
151,11525,KIA,132,3142387
152,10487,BMW,313,644312
153,11423,BMW,232,3100286
154,5109,Ford,351,3237542
155,9335,BMW,398,846848
156,362,Toyota,179,2751091
157,8136,LADA,422,1102742
158,203,Mercedez-Benz,113,3538290
159,15845,BMW,242,2966764
160,16463,KIA,319,663549
161,18242,Ford,217,2281675
162,390,BMW,240,1974817
163,2887,BMW,440,1690552
164,2958,Daewoo,,1979629
165,10892,Daewoo,346,2168234
166,19596,Nissan,90,3951606
167,13326,Infiniti,316,2697050
168,15360,LADA,401,2560424
169,4514,KIA,456,386407
170,4151,Mercedez-Benz,413,3634631
171,19131,Toyota,195,2722600
172,984,Nissan,384,1359668
173,19894,KIA,257,2721347
174,18293,Infiniti,174,2573327
175,6879,Subaru,100,1031059
176,9508,Ford,234,1455678
177,4375,Subaru,344,3287949
178,16750,Mercedez-Benz,318,2000217
179,19116,BMW,92,1777770
180,4047,Audi,403,3748792
181,943,Nissan,,1467151
182,10709,Nissan,378,382630
183,1508,Toyota,476,3844292
184,15869,Daewoo,348,3061365
185,1226,Toyota,452,2660585
186,12030,Subaru,226,1715108
187,8683,LADA,165,1705584
188,8540,LADA,95,660781
189,11823,KIA,434,972254
190,8907,Nissan,381,2032141
191,7075,LADA,432,2170979
192,7652,Daewoo,111,1740075
193,19532,Subaru,262,903743
194,16693,LADA,407,1821994
195,7146,Subaru,,750928
196,2832,Nissan,493,2962865
197,7563,Infiniti,483,3015169
198,13178,Mercedez-Benz,384,3158006
199,14298,Infiniti,,3131668
200,5877,KIA,221,3706253
201,4855,Toyota,139,862584
202,7201,Nissan,351,1508294
203,5750,KIA,149,3243885
204,12389,Ford,256,1778589
205,19277,Nissan,266,1086021
206,2242,Subaru,179,1008672
207,15226,Subaru,327,1524435
208,13012,Toyota,264,3644009
209,4610,Daewoo,272,3896860
210,3957,Daewoo,300,670256
211,2447,Nissan,469,2441736
212,3694,Ford,284,2211121
213,12133,Infiniti,396,1632218
214,4560,Nissan,126,967075
215,1235,KIA,264,981021
216,8808,BMW,172,2469708
217,18610,Toyota,251,625311
218,12190,Daewoo,344,2693274
219,1860,Toyota,170,1526306
220,16827,Mercedez-Benz,390,1558926
221,9466,KIA,318,2867890
222,16351,Daewoo,341,587921
223,3080,Mercedez-Benz,341,3956876
224,4623,Daewoo,399,2853966
225,10691,KIA,72,724759
226,10252,Ford,80,2681417
227,7946,Daewoo,339,2398042
228,7499,Toyota,339,2249683
229,10026,Mercedez-Benz,,3109031
230,11116,BMW,97,3192329
231,13876,Daewoo,226,2299058
232,9231,Daewoo,384,2533225
233,3569,BMW,97,3000484
234,6940,Subaru,314,493415
235,14830,BMW,326,2151508
236,2928,Toyota,311,2111595
237,1516,KIA,362,775290
238,12389,Nissan,281,1041726
239,15467,LADA,240,1673027
240,11467,Audi,148,853937
241,11739,Toyota,470,1338041
242,10835,KIA,287,1817882
243,490,KIA,285,3515502
244,3808,LADA,111,371275
245,1152,KIA,327,3487130
246,4967,Nissan,,2271087
247,18149,BMW,309,3885326
248,11137,Infiniti,394,1153597
249,8286,Nissan,165,3454229
250,15821,Daewoo,88,640010
251,1756,KIA,327,2738807
252,14172,Audi,162,2533337
253,17766,Nissan,456,3268457
254,11031,Audi,286,1572999
255,9495,BMW,343,1662808
256,4636,Audi,486,693415
257,9843,Nissan,,3911444
258,11624,Subaru,190,2778537
259,6503,Mercedez-Benz,141,2671729
260,11424,Infiniti,283,3083311
261,7971,Infiniti,210,3864031
262,9804,Toyota,401,3378636
263,12472,KIA,,1800582
264,7656,BMW,78,342366
265,1094,Mercedez-Benz,106,425116
266,10002,KIA,211,1730106
267,8184,Nissan,,3950566
268,2689,Daewoo,202,440692
269,15740,Audi,481,923656
270,2873,Ford,206,3084139
271,8777,Ford,385,2487307
272,260,Infiniti,229,3824106
273,19551,Mercedez-Benz,350,1232072
274,6238,Audi,198,1357560
275,13500,Infiniti,255,3989848
276,9697,Daewoo,,2999289
277,10261,Daewoo,497,1172553
278,5659,Mercedez-Benz,421,1373544
279,16699,Daewoo,213,2325534
280,6048,Subaru,205,3886748
281,1858,Subaru,278,3553514
282,13096,Mercedez-Benz,274,3064691
283,6356,Infiniti,96,1726238
284,3267,BMW,453,1009742
285,7473,LADA,186,1181348
286,13700,Toyota,296,3630712
287,2796,Ford,487,1356768
288,17755,Infiniti,370,1460211
289,1273,Infiniti,316,2325614
290,10299,Daewoo,149,232228
291,18043,KIA,288,1709214
292,15524,KIA,141,3399407
293,18757,Mercedez-Benz,411,1395498
294,5116,Toyota,394,504201
295,13500,BMW,118,2661364
296,14145,Mercedez-Benz,,3396271
297,19668,Ford,163,1519397
298,11440,Subaru,124,2631784
299,7121,Toyota,80,1033397
300,3631,Infiniti,459,2558698
301,17716,Infiniti,356,3121077
302,12266,Daewoo,372,3477809
303,5997,Subaru,492,1339123
304,6175,Mercedez-Benz,294,710328
305,2292,Daewoo,329,770901
306,19268,Infiniti,492,2011388
307,5134,Ford,462,535068
308,14652,Mercedez-Benz,451,738916
309,5958,Nissan,382,630353
310,19327,Audi,155,3593728
311,1837,Infiniti,403,1503669
312,5693,Infiniti,279,396864
313,7419,Toyota,87,2249920
314,267,KIA,120,3921484
315,1634,Ford,466,1348292
316,17443,Mercedez-Benz,284,3073191
317,4821,Toyota,,310404
318,1657,Audi,269,2960492
319,1183,Subaru,354,1374981
320,12728,Infiniti,181,928539
321,14588,LADA,197,239256
322,10956,Ford,123,2117647
323,15903,LADA,349,414105
324,198,Nissan,144,3632025
325,15158,Audi,194,2452014
326,14012,BMW,96,3780908
327,4839,BMW,435,3265969
328,239,Ford,367,1477336
329,3367,Ford,360,3536235
330,7982,Ford,489,3595824
331,3148,Toyota,171,324191
332,13873,Toyota,221,2619404
333,14156,Subaru,131,3184277
334,18219,LADA,482,3892716
335,2219,Infiniti,227,3509709
336,2892,Infiniti,250,3311000
337,5360,Ford,340,2651254
338,7195,Audi,212,611183
339,14860,Infiniti,328,695219
340,7083,BMW,128,2551849
341,2635,BMW,363,2815103
342,12723,BMW,250,1721366
343,1895,Toyota,329,2649095
344,16917,Infiniti,125,2448315
345,12178,Audi,113,2386240
346,5416,Audi,93,1398938
347,4537,Subaru,109,3608730
348,5304,LADA,384,1958624
349,6667,BMW,,580835
350,16973,BMW,197,2221525
351,9185,KIA,448,435015
352,5637,Mercedez-Benz,366,3901204
353,4553,Nissan,361,307432
354,16966,Ford,394,479667
355,13759,Subaru,285,3384167
356,6871,Nissan,378,2881850
357,13726,Mercedez-Benz,243,2638114
358,5421,Audi,271,1464661
359,3985,Nissan,92,2188921
360,5891,Toyota,,2118235
361,8798,Daewoo,461,377733
362,2345,LADA,411,2714781
363,11372,Ford,458,1202259
364,16593,Toyota,460,2426444
365,2727,Subaru,434,1981321
366,4212,Infiniti,,3643566
367,17671,Audi,196,245696
368,475,LADA,117,2113286
369,3630,Mercedez-Benz,221,3561670
370,13156,Audi,,3944610
371,4470,Subaru,107,2365450
372,4677,Infiniti,386,387902
373,12341,BMW,411,2963015
374,8165,Mercedez-Benz,401,2575870
375,9209,Infiniti,463,3270412
376,5247,BMW,123,3671922
377,17617,Infiniti,252,3703475
378,18069,Nissan,359,2286642
379,18379,Daewoo,210,3978758
380,19243,Nissan,353,3861266
381,904,Ford,222,2350849
382,16862,BMW,398,832348
383,17145,Nissan,484,821554
